license_state,license_status,license_number,licensee_name_business,establishment_address_full
Georgia,Active,36227,PAUL'S COUNTRY STORE,7505 OLD AXSON RD DOUGLAS GA 31535-3241
Georgia,Inactive,39876,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Inactive,49555,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Active,64268,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Inactive,47697,15 HOLE PACKAGE STORE,7185 ROCKBRIDGE RD STE C STONE MTN GA 30087-6356
Georgia,Inactive,20953,15 SPEEDWAY LLP,1344 S HARRIS ST SANDERSVILLE GA 31082-6925
Georgia,Active,69597,157 BRASELTON LLC,983 HWY 124 STE A HOSCHTON GA 30548
Georgia,Active,57770,15TH STREET PIZZA,2130 JODECO RD MCDONOUGH GA 30253-5218
Georgia,Active,62811,16 EAST,1309 E 16TH AVE CORDELE GA 31015-5328
Georgia,Active,50938,17 SAKURA JAPANESE RESTAURANT,5730 OGEECHEE RD STE 470 SAVANNAH GA 31405-9522
Georgia,Inactive,44502,1790 INN & RESTAURANT,307 E PRESIDENT ST SAVANNAH GA 31401-3808
Georgia,Active,11003,1790 INN & RESTAURANT,307 E PRESIDENT ST SAVANNAH GA 31401-3808
Georgia,Inactive,52881,17TH STREET ART FAIR,245 18TH ST ATLANTA GA 30363-1119
Georgia,Active,61409,"1800 WINE SHOP.COM, INC.",607 AIRPARK RD NAPA CA 94558-6272
Georgia,Inactive,58686,1804 RESTAURANT,5481 MEMORIAL DR STE A STONE MOUNTAIN GA 30083-3240
Georgia,Inactive,51257,1810 COUNTRY INN & WINERY,254 N SEYMOUR DR THOMSON GA 30824-7209
Georgia,Inactive,48187,1810 COUNTRY INN WINERY,254 N SEYMOUR DR THOMSON GA 30824-7209
Georgia,Inactive,57592,1810 ITALIAN BAR AND GRILL,254 N SEYMOUR DR THOMSON GA 30824-7209
Georgia,Active,19014,1842 INN,353 COLLEGE ST MACON GA 31201-1651
Georgia,Inactive,55052,1903 FINE DINING @ THE PAGE HO,711 BELLEVUE AVE DUBLIN GA 31021-4845
Georgia,Inactive,57764,191 CC OPERATING CO LLC,191 PEACHTREE ST 49TH FLR ATLANTA GA 30303-1740
Georgia,Inactive,57763,191 CC OPERATING CO LLC,191 PEACHTREE ST 49TH FLR ATLANTA GA 30303-1740
Georgia,Active,65206,1910 PUBLIC HOUSE,107 MAIN ST NW LILBURN GA 30047-5021
Georgia,Inactive,48046,1941 SPORTS BAR & GRILL,629 N EXPRESSWAY STE F GRIFFIN GA 30223-2083
Georgia,Inactive,54144,196 PACKAGE SHOP,790 ELMA G MILES PKWY HINESVILLE GA 31313-4522
Georgia,Inactive,52419,19TH HOLE,2605 PLEASANT HILL RD STE 600A DULUTH GA 30096-1454
Georgia,Active,19334,19TH HOLE RESTAURANT,40 LITTLE PINE MOUNTAIN RD JASPER GA 30143-7905
Georgia,Active,64866,1KEPT,2293 PEACHTREE RD NE STE B ATLANTA GA 30309-1101
Georgia,Inactive,52448,1ST CRU LLC,8456 LAUREL RIDGE DR ALTO MI 49302
Georgia,Inactive,70181,1ST RANGER BATTALION SUA SPONTE FOUNDATION,FORSYTH PARK BAND SHELL END SAVANNAH GA 31401
Georgia,Inactive,66141,1ST RANGER BATTALION SUA SPONTE FOUNDATION,FORSYTH PARK SAVANNAH GA 31401
Georgia,Active,51234,2 DOG RESTAURANT,317 SPRING ST SE GAINESVILLE GA 30501-3735
Georgia,Active,53976,2 GUYS AND A PIE PIZZERIA,402 GA HIGHWAY 247 S STE 2000 BONAIRE GA 31005-1709
Georgia,Inactive,53861,2 SISTERS CAFE INC,112 OSBORNE ST SAINT MARYS GA 31558-8418
Georgia,Inactive,47720,2 SPICY CHICAS INC,6698 B WEST BROAD STREET DOUGLASVILLE GA 30134
Georgia,Inactive,53320,2 WILLIES ENTERTAINMENT LLC,3315 SUGARLOAF PKWY LAWRENCEVILLE GA 30044-5483
Georgia,Inactive,18335,20 GRAND LOUNGE LLC,6340 HIGHWAY 85 BLDG CLUB RIVERDALE GA 30274
