license_state,license_status,license_number,licensee_name_business,establishment_address_full
Georgia,Active,62476,BUFFALO'S CAFE,440 SHORTER AVE NW ROME GA 30165-4272
Georgia,Active,32938,BUFFALO'S CAFE -ATHENS,196 ALPS RD STE 49 ATHENS GA 30606-4094
Georgia,Inactive,66590,BUFFALO'S CAFE ACWORTH,3160 COBB PARKWAY STE 490 KENNESAW GA 30152
Georgia,Inactive,41503,BUFFALO'S CAFE BERKELEY LAKE,3870 PEACHTREE INDUSTRIAL BLVD STE 100 DULUTH GA 30096-1423
Georgia,Active,62815,BUFFALO'S CAFE GRAYSON,1365 GRAYSON HWY. STE 100 LAWRENCEVILLE GA 30048
Georgia,Active,39835,BUFFALO'S CAFE GRIFFIN,1421 HWY 16 GRIFFIN GA 30223
Georgia,Active,36003,BUFFALO'S CAFE HAMILTON MILL,3450 BRASELTON HWY DACULA GA 30019-1030
Georgia,Active,36182,BUFFALO'S CAFE MACON,5990 ZEBULON RD MACON GA 31210-1901
Georgia,Inactive,54060,BUFFALO'S CAFE OAKWOOD,3446 WINDER HWY 101 OAKWOOD GA 30566
Georgia,Inactive,28394,BUFFALO'S CAFE OF KENNESAW,1200 ERNEST W BARRETT PKWY NW STE 11 KENNESAW GA 30144-7557
Georgia,Active,58886,BUFFALO'S CAFE OF LOGANVILLE,910 ATHENS HWY STE 79 LOGANVILLE GA 30052-4952
Georgia,Inactive,41611,BUFFALO'S CAFE OF SHANNON MALL,1000 SHANNON SOUTHPARK UNION CITY GA 30291
Georgia,Inactive,35012,BUFFALO'S CAFE-LOGANVILLE,910 ATHENS HWY STE 19 LOGANVILLE GA 30052-4952
Georgia,Inactive,53605,BUFFALO'S EXPRESS CAFE,1024 INDIAN SPRINGS DR FORSYTH GA 31029-8836
Georgia,Active,57373,BUFFALO'S ORIGINAL AMERICAN GRILLE #3,991 PEACHTREE INDUSTRIAL BLVD STE 104 SUWANEE GA 30024-4343
Georgia,Active,47939,BUFFALO'S SOUTHWEST CAFE HIRAM,5380 WENDY BAGWELL PKWY HIRAM GA 30141-2881
Georgia,Inactive,40668,BUFFALO'S SOUTHWEST GRILL,3061 WATSON BLVD WARNER ROBINS GA 31093-8509
Georgia,Inactive,52763,BUFFALO'S WINGS & RINGS,842 MAIN ST FOREST PARK GA 30297-1465
Georgia,Inactive,37787,BUFFALOS CAFE,2161 HWY 441 SOUTH DUBLIN GA 31021-1746
Georgia,Inactive,39829,BUFFALOS CAFE - TUCKER,4349 LAWRENCEVILLE HWY STE E TUCKER GA 30084-3700
Georgia,Active,38298,BUFFALOS CAFE-OAKWOOD,3446 WINDER HWY # 101 FLOWERY BRANCH GA 30542-3007
Georgia,Inactive,45246,BUFFALOS HOUSE,5045 JIMMY CARTER BLVD NORCROSS GA 30093-2003
Georgia,Inactive,30399,BUFFALOS SOUTHWEST CAFE,3797 HIGHWAY 138 SE STE A STOCKBRIDGE GA 30281-4120
Georgia,Inactive,43562,BUFFALOS SOUTHWEST CAFE STONEC,2929 TURNER HILL RD STE 2950 LITHONIA GA 30038-2527
Georgia,Inactive,50701,BUFFET CITY,2301 AIRPORT THRUWAY UNION F5 COLUMBUS GA 31904-3500
Georgia,Active,39581,BUFFINGTONS,120 W HANCOCK ST MILLEDGEVILLE GA 31061-3450
Georgia,Active,67950,SUPER B EXPRESS,300 E 3RD ST DONALSONVILLE GA 39845-1648
Georgia,Active,17558,ONE STOP #2,3126 N OAK ST VALDOSTA GA 31602-1003
Georgia,Active,63671,STAR FOOD MART,1300 MARTIN LUTHER KING JR BLVD COLUMBUS GA 31906-3531
Georgia,Inactive,51112,ANDY'S QUICK STOP,119 S CENTRAL ST SWAINSBORO GA 30401-3101
Georgia,Inactive,52711,BUFORD FOOD & DOLLAR MART,4525 S LEE ST # B BUFORD GA 30518-5722
Georgia,Active,26692,BUFORD HIGHWAY FARMERS MARKET,5600 BUFORD HWY NE STE Z DORAVILLE GA 30340-1224
Georgia,Inactive,34311,BUFORD MARKET,2275 BUFORD HWY BUFORD GA 30518-6049
Georgia,Active,65423,KITE KWICK STOP,811 GA HWY 57 SWAINSBORO GA 30401
Georgia,Inactive,54970,BUFORD VARIETY THEATER,170 W MAIN ST BUFORD GA 30518-3038
Georgia,Inactive,5211,BUFORD'S BAIT AND TACKLE,4943 COBBHAM RD THOMSON GA 30824-6254
Georgia,Inactive,24701,BUGABOO CREEK STEAKHOUSE,3505 SATELLITE BLVD DULUTH GA 30096-4646
Georgia,Inactive,47084,BUGABOO CREEK STEAKHOUSE,840 ERNEST W BARRETT PKWY NW STE 50 KENNESAW GA 30144-4998
Georgia,Inactive,47561,BUGABOO CREEK STEAKHOUSE OF NE,1450 US HIGHWAY 22 MOUNTAINSIDE NJ 07092-2619
Georgia,Inactive,50034,BUGAY VINEYARDS,1888 CRYSTAL SPRINGS CT SANTA ROSA CA 95404-1096
Georgia,Inactive,38355,BUGGYTOWN GRILL,818 COLLEGE DR STE B BARNESVILLE GA 30204-3507
Georgia,Inactive,62355,BUILDERS ASSOCIATION OF METRO AUGUSTA,3732 EXECUTIVE CTR DR MARTINEZ GA 30907-2360
Georgia,Inactive,67186,BUILDERS ASSOCIATION OF METRO AUGUSTA,3300 EVANS TO LOCKS RD MARTINEZ GA 30907-4903
Georgia,Inactive,57361,BUILDERS POLITICAL ACTION COMMITTEE OF THE CSRA,3300 EVANS TO LOCKS RD MARTINEZ GA 30907-4903
Georgia,Active,59205,BUKANAS SPORT BAR,4782 JIMMY CARTER BLVD STE 10 NORCROSS GA 30093-3714
Georgia,Active,34391,BUKHARA INDIAN RESTAURANT,3651 PEACHTREE PKWY STE F SUWANEE GA 30024-1089
Georgia,Inactive,49883,BULGARGIAN MASTER VINTNERS LLC,1447 E NAPA ST SONOMA CA 95476-3821
Georgia,Inactive,38745,BULGARIAN MASTER VINTNERS LLC,1232 BROADWAY SONOMA CA 95476-7500
Georgia,Active,66800,BULGARIAN MASTER VINTNERS LLC,1262 BROADWAY SONOMA CA 95476-7504
Georgia,Active,69164,BULL CREEK GOLF COURSE,7333 LYNCH RD MIDLAND GA 31820-4021
Georgia,Inactive,48825,BULL CREEK GOLF COURSE,7333 LYNCH RD MIDLAND GA 31820-4021
Georgia,Inactive,3955,BULL CREEK SNACK SHOP,7333 LYNCH RD COLUMBUS GA 31909
Georgia,Inactive,2554,BULL DAWG BOTTLES,384A W BROAD ST ATHENS GA 30601-2502
Georgia,Inactive,24576,BULL RIVER BEVERAGE MART,7724-A JOHNNY MERCER BLVD SAVANNAH GA 31410
Georgia,Active,64261,BULL RIVER MARINA,8005 US HIGHWAY 80 E SAVANNAH GA 31410-2922
Georgia,Inactive,24654,BULL RIVER YACHT CLUB MARINA,8005 US HIGHWAY 80 E SAVANNAH GA 31410-2939
Georgia,Inactive,53637,BULL STREET CHOPHOUSE,44 BULL ST SAVANNAH GA 31401-3319
Georgia,Inactive,47144,BULL'S PLACE,264 E MAIN ST BUTLER GA 31006-5307
Georgia,Inactive,48681,BULLARD ONE STOP,10610 GA HIGHWAY 129 DRY BRANCH GA 31020-4800
Georgia,Active,59523,KWIK TRIP #1,712 N DAVIS DR WARNER ROBINS GA 31093-1976
Georgia,Active,27484,YOUR SUPERMARKET,605B W 16TH AVE CORDELE GA 31015-2464
Georgia,Active,33579,BULLDOG BP,1501 MONTICELLO RD MADISON GA 30650-4840
Georgia,Inactive,55244,BULLDOG CAFE,468 NORTH AVE ATHENS GA 30601-2255
Georgia,Active,44318,HILLSIDE LIQUOR,2150 POWERS FERRY RD SE # A-1 ATLANTA GA 30339-5028
Georgia,Active,48006,EZ STOP,4693 N MARBLE TOP RD CHICKAMAUGA GA 30707-3749
Georgia,Inactive,23692,BULLDOG PACKAGE,314 E 4TH ST OCILLA GA 31774-1537
Georgia,Inactive,5120,BULLDOG PACKAGE,2616A ATHENS HWY JEFFERSON GA 30549-5831
Georgia,Active,63502,BULLDOG SQUARE,450 BALDWIN ST ATHENS GA 30605-5103
Georgia,Inactive,51720,BULLDOG SQUARE,450 BALDWIN ST BULL DOG SQUARE ATHENS GA 30605-5103
Georgia,Inactive,4223,BULLDOG SQUARE,450 BALDWIN ST ATHENS GA 30605-5103
Georgia,Active,63430,BULLDOG SUPPER CLUB,1017 PARK PLACE BLVD GREENSBORO GA 30642-5151
Georgia,Inactive,2121,BULLDOGS # 3,514 HWY 84 STOCKTON GA 31649-1025
Georgia,Inactive,54632,BULLOCKS BAR B QUE,4C WILMINGTON ISLAND RD SAVANNAH GA 31410-3705
Georgia,Active,14242,SLAUGHTER'S GROCERY,1280 SHILOH RD CEDARTOWN GA 30125-5626
Georgia,Active,58759,BULLRITOS,10327 INDUSTRIAL BLVD NE COVINGTON GA 30014-1403
Georgia,Active,68691,"ADI SHAKTI TRADING, INC.",1 GATEWAY BLVD SAVANNAH GA 31419
Georgia,Active,61108,"BULLY HILL VINEYARDS, INC",PO BOX 458 HAMMONDSPORT NY 14840-0458
Georgia,Inactive,44251,"BULLY HILL VINEYARDS, INC",PO BOX 458 HAMMONDSPORT NY 14840-0458
Georgia,Inactive,47161,BUNDOS MARKET RESTAURANT,1054 MAIN ST STE I & J STONE MOUNTAIN GA 30083-2975
Georgia,Inactive,67781,BUNGALOW BALL,490 WEST PACES FERRY RD BLDG HOUSE ATLANTA GA 30305
Georgia,Inactive,48607,BUNKLEYS BOTTLE SHOP,610 MEMORIAL DR WAYCROSS GA 31501-2911
Georgia,Inactive,24453,BUNKY'S FOOD STORE,1545 STATE ST WAYCROSS GA 31501-6712
Georgia,Inactive,58234,CARLTON GROCERY INC,5707 HIGHWAY 72 E CARLTON GA 30627-1541
Georgia,Inactive,59826,BUNZ RESTAURANT,1830 CHANDLER RD BLDG 1 STATESBORO GA 30458-4946
Georgia,Inactive,64071,"BUON GUSTO, LLC",921 NORTH HERMITAGE AVENUE APT 3 CHICAGO IL 60622
Georgia,Active,50242,BUONCRISTIANI WINE CO,3346 KENSINGTON CIR NAPA CA 94558-4215
Georgia,Inactive,51643,"BURCH WINES, LLC",13832 MEADOWLARK LN GRASS VALLEY CA 95945-8002
Georgia,Active,66205,BURGER 21,3385 WOODWARD CROSSING BLVD STE 350 BUFORD GA 30519-4947
Georgia,Inactive,21924,BURGER TAP,1395 N HIGHLAND AVE NE STE D ATLANTA GA 30306-3360
Georgia,Active,65124,BURGERFI,2844 SOUTH MAIN STREET BLDG BUSINESS KENNESAW GA 30144
Georgia,Active,64606,BURGERFI,1520 AVENUE PLACE STE B-140 ATLANTA GA 30329
Georgia,Active,64134,BURGERFI,5475 WINDWARD PARKWAY WEST ALPHARETTA GA 30004
Georgia,Active,55185,BURGESS CELLARS,1108 DEER PARK RD SAINT HELENA CA 94574-9728
Georgia,Active,61547,"BURGESS CELLARS, INC",1108 DEER PARK RD SAINT HELENA CA 94574-9728
Georgia,Inactive,43203,BURGESS' FARMERS MARKET,101 RAILROAD ST RHINE GA 31077-3042
Georgia,Inactive,40872,BURGOS FAMILY ENTERPRISES INC,5803 BUFORD HWY NE STE 20 DORAVILLE GA 30340-2421
Georgia,Inactive,46602,BURIITO EXPRESS MEXICAN REST,287 S CHESTATEE ST DAHLONEGA GA 30533-1333
Georgia,Inactive,46371,BURITTO EXPRESS #2,216 BRUMBELOW RD CARROLLTON GA 30117-2744
Georgia,Active,57500,BURKE PERK BAKE SHOP AND BISTRO LLC,618 N LIBERTY ST WAYNESBORO GA 30830-1417
Georgia,Active,16635,BURLEYS POOL ROOM,490 GREENWOOD CHURCH RD NORWOOD GA 30821-4456
Georgia,Active,49152,ROSES,9747 BUCHANAN HWY TEMPLE GA 30179-5033
Georgia,Active,68034,R LIQUOR STORE,2763 HIGHWAY 54 PEACHTREE CITY GA 30269-1031
Georgia,Active,69673,MCDONOUGH MARKET,610 MACON ST MCDONOUGH GA 30253-3532
Georgia,Active,58101,RHINE USA,251 2ND ST RHINE GA 31077-4120
Georgia,Inactive,65294,BURNT BOURBON POTTERY,330 FOSTER ST CORNELIA GA 30531-2819
Georgia,Inactive,61943,BURNT BOURBON POTTERY,330 FOSTER ST CORNELIA GA 30531-2819
Georgia,Inactive,60000,BURNT BURBON POTTERY LLC,330 FOSTER ST CORNELIA GA 30531-2819
Georgia,Active,57779,BURNT FORK BBQ,614 CHURCH ST DECATUR GA 30030-2516
Georgia,Active,59689,"BURNT HICKORY BREWERY, LLC",2260 MOON STATION CT NW STE 210 KENNESAW GA 30144-5653
Georgia,Inactive,65112,BURNT HICKORY FOODMART,804 BURNT HICKORY RD SW STE A CARTERSVILLE GA 30120-7324
Georgia,Inactive,25970,BURNT HICKORY GROCERY,805 BURNT HICKORY RD SE CARTERSVILLE GA 30120-5434
Georgia,Inactive,61361,BURRELL SCHOOL VINEYARDS INC,24060 SUMMIT RD LOS GATOS CA 95033-9290
Georgia,Inactive,50129,BURRITO BROTHERS,22 CARRIAGE OAKS DR TYRONE GA 30290-1684
Georgia,Inactive,43182,BURRITO BROTHERS,2469 PIEDMONT RD NE ATLANTA GA 30324-3323
Georgia,Inactive,54855,BURRITO EXPRESS,1027 MAPLE ST STE A CARROLLTON GA 30117-3641
Georgia,Active,55634,BURRITO GORILLA,2100 RAY MOSS CONNECTOR STE A & B JOHNS CREEK GA 30022-4620
Georgia,Active,54977,BURRITO LOCO,4139 HIGHWAY 278 NW COVINGTON GA 30014-2121
Georgia,Inactive,58075,BURRITO RICO & WINGS INC,3706 MIKE PADGETT HWY AUGUSTA GA 30906-0743
Georgia,Inactive,52680,BURRITO-BILL,2050 SCENIC HWY N STE H SNELLVILLE GA 30078-2688
Georgia,Inactive,53143,BUS STOP EATS & DRINKS,99 E RAILROAD ST TOCCOA GA 30577-2617
Georgia,Inactive,58275,BUSINESS & TECHNOLOGY ALLIANCE OF SAVANNAH INC,15 W YORK ST SAVANNAH GA 31401-3703
Georgia,Inactive,30212,BUSY BEE BP,858 LOGANVILLE HWY WINDER GA 30680-4038
Georgia,Inactive,36928,BUSY BEE GROCERY,2051 JAMES JACKSON PKWY NW ATLANTA GA 30318-1012
Georgia,Active,12014,BUSY BEE MARKET,3799 BUSINESS 27 BUCHANAN GA 30113-4398
Georgia,Inactive,5188,DABOMB PLATINUM,2912 EVANS MILL RD LITHONIA GA 30038-2415
Georgia,Active,69537,BUTLER FOOD MART,131 CHARING RD BUTLER GA 31006-4938
Georgia,Inactive,66424,BUTLER FOODMART,125 E MAIN ST BUTLER GA 31006-5232
Georgia,Active,32590,"BUTLER'S CABIN RESTAURANT, LLC",6060 VETERANS PKWY COLUMBUS GA 31909-4687
Georgia,Active,7979,BUTLER'S GROCERY & MARKET,1390 MARTIN LUTHER KING AVENUE CAIRO GA 31728
Georgia,Active,68888,BUTT HUTT,480 MACON HWY ATHENS GA 30606-5155
Georgia,Inactive,3200,BUTT HUTT,480 MACON HWY ATHENS GA 30606-5155
Georgia,Inactive,49197,"BUTTE CREEK BREWING , CO",945 W 2ND ST CHICO CA 95928-5002
Georgia,Inactive,51460,BUTTE CREEK BREWING COMPANY,945 W 2ND ST CHICO CA 95928-5002
Georgia,Inactive,52333,BUTTERDUCKS ESTATE WINERY,439 VINEYARD WAY DAHLONEGA GA 30533-2952
Georgia,Active,47640,BUTTERDUCKS ESTATE WINERY LLC,3332 BLUE JAY RD GUYTON GA 31312-5702
Georgia,Active,53407,BUTTERDUCKS ESTATE WINERY LLC,50 LANE RD FORT VALLEY GA 31030-5212
Georgia,Active,55645,BUTTERDUCKS ESTATE WINERY LLC,3332 BLUE JAY RD GUYTON GA 31312-5702
Georgia,Active,58463,BUTTERNUT CREEK GOLF COURSE,129 UNION COUNTY REC RD BLAIRSVILLE GA 30512
Georgia,Active,55522,BUTTERNUTS BEER AND ALE LLC,4020 STATE HIGHWAY 51 GARRATTSVILLE NY 13342-1704
Georgia,Inactive,61570,"BUTTONWOOD FARM WINERY, INC.",1500 ALAMO PINTADO RD SOLVANG CA 93463-9756
Georgia,Inactive,61698,BUTTONWOOD GROVE WINERY LLC,5986 STATE ROUTE 89 ROMULUS NY 14541-9565
Georgia,Inactive,52893,BUTY WINERY,535 E CESSNA AVE WALLA WALLA WA 99362-7412
Georgia,Active,38088,WINDWARD SK,5005 WINDWARD PKWY ALPHARETTA GA 30004-3890
Georgia,Active,49858,BELLOO'S,900 FRONT AVE COLUMBUS GA 31901-2725
Georgia,Inactive,54113,BUY THE SLICE,4943 SNAPFINGER WOODS DR STE B4 & B5 DECATUR GA 30035-4198
Georgia,Inactive,60138,BUZZBALLZ LLC,1711 BRIERCROFT CT STE 100 CARROLLTON TX 75006-6463
Georgia,Inactive,60137,BUZZBALLZ LLC,1711 BRIERCROFT CT STE 100 CARROLLTON TX 75006-6463
Georgia,Active,69131,BUZZBALLZ LLC,2114 MCDANIEL DR CARROLLTON TX 75006-6839
Georgia,Active,68855,BUZZBALLZ LLC,2114 MCDANIEL DR CARROLLTON TX 75006-6839
Georgia,Active,68035,SRIVISHNU CORPORATION,353 WEST MAIN STREET PINE MOUNTAIN GA 31822
Georgia,Active,63422,WILSON MARKET,6456 HWY 74 THOMASTON GA 30286
Georgia,Active,69116,BVS CO,803 RAMSEUR ST STE D DURHAM NC 27701-4179
Georgia,Inactive,59002,BW UNDERGROUND LLC,234 AUBURN AVE NE BELL ST ATLANTA GA 30303
Georgia,Inactive,59000,BW UNDERGROUND LLC,234 AUBURN AVE NE FORT ST ATLANTA GA 30303
Georgia,Inactive,37423,BW'S SNOOKER PARLOR,566 MULBERRY ST MACON GA 31201-2768
Georgia,Inactive,45344,BW'S SNOOKER PARLOR,566 MULBERRY ST MACON GA 31201-2768
Georgia,Inactive,14785,BY PASS PACKAGE,260 MERCHANTS DR DALLAS GA 30132-4761
Georgia,Inactive,43060,BYBLOS RESTAURANT,10684 ALPHARETTA HWY OFC ROSWELL GA 30076-5666
Georgia,Active,64118,BYRD COOKIE COMPANY OF SAVANNAH LLC,6700 WATERS AVE SAVANNAH GA 31406-2718
Georgia,Active,66326,BYRD COOKIE COMPANY OF SAVANNAH LLC,102 E LIBERTY ST STE 107 SAVANNAH GA 31401-4442
Georgia,Inactive,59238,BYRD COOKIE COMPANY OF SAVANNAH LLC,6700 WATERS AVE SAVANNAH GA 31406-2718
Georgia,Active,68970,BYRD COOKIE COMPANY OF SAVANNAH LLC,213 W SAINT JULIAN ST SAVANNAH GA 31401-2513
Georgia,Inactive,48688,BYRON CHINA BUFFET,311 US HWY 49 NORTH 140 BYRON GA 31008
Georgia,Active,62438,BYRON COOPER,9977 HWY 301 NORTH CLAXTON GA 30417
Georgia,Inactive,44028,BYRON PIZZA,505 GA HIGHWAY 49 N BYRON GA 31008-4014
Georgia,Inactive,47468,BYRON PIZZA DELIVERY,505 GA HIGHWAY 49 N BYRON GA 31008-4014
Georgia,Inactive,54426,BYUL CHUN JI,10900 MEDLOCK BRIDGE RD STE 402 JOHNS CREEK GA 30097-1592
Georgia,Active,57157,BYUL DAE PO,3525 MALL BLVD BLDG 3 DULUTH GA 30096-4727
Georgia,Active,11135,RAY'S PLACE,HWY 46 EAST METTER GA 30439
Georgia,Active,46048,KWIK STOP # 4,406 PEA RIDGE RD EATONTON GA 31024-7889
Georgia,Active,51020,TONGUE & GROOVE,565 MAIN ST NE ATLANTA GA 30324-6252
Georgia,Inactive,32516,C & B CONVENIENCE STORE,402 FREDONIA CHURCH RD BARNESVILLE GA 30204-4219
Georgia,Inactive,27641,C & B PACKAGE STORE,2240 CASCADE RD SW ATLANTA GA 30311-2802
Georgia,Inactive,41164,C & C CLUB,FLORENCE ROAD GEORGETOWN GA 31754
Georgia,Inactive,52050,C & C IMPORTS LLC,2030 DOUGLAS RD #611 CORAL GABLES FL 33134-4639
Georgia,Inactive,40864,C & D FOOD MART,201 LECT DR PERRY GA 31069-3187
Georgia,Inactive,9201,C & D PACKAGE STORE,6098 MEMORIAL DR STONE MTN GA 30083-2852
Georgia,Inactive,44986,C & H LIQUOR,404B POWDER SPRINGS ST SE MARIETTA GA 30064-3426
Georgia,Inactive,20889,C & J DISCO,PO BOX 414 LUMPKIN GA 31815-0414
Georgia,Inactive,16270,C & J MARKET,1565 15TH ST AUGUSTA GA 30901-3481
Georgia,Inactive,59094,C & J'S EATERY,126 E WALTON ST BACONTON GA 31716-7704
Georgia,Inactive,59836,C & K MARKET,216 SECOND AVE OMAHA GA 31821
Georgia,Inactive,13540,C & L LOUNGE,425 W FOREST AVE HOMERVILLE GA 31634-3453
Georgia,Inactive,17402,C & L PARADISE BAR & LOUNGE,1200 M L KING BLVD COLUMBUS GA 31903
Georgia,Active,13828,CLITO STORE,5901 GA HIGHWAY 24 STATESBORO GA 30461-6504
Georgia,Inactive,62509,CLITO STORE,535 E 39TH ST SAVANNAH GA 31401-9025
Georgia,Inactive,16993,C & M PACKAGE SHOP,2416B MONTGOMERY ST SAVANNAH GA 31401-8836
Georgia,Active,51590,JALARAM ASSOCIATES LLC,2626 SKYVIEW DR LITHIA SPRINGS GA 30122-3913
Georgia,Active,26171,C & R LIQUOR STORE,3295 SNAPFINGER RD STE A LITHONIA GA 30038-2686
Georgia,Inactive,42455,C & R LIQUOR STORE,3295 SNAPFINGER RD STE A LITHONIA GA 30038-2686
Georgia,Inactive,40853,C & S GENERAL STORE,3193 FARMERS BRIDGE RD HEPHZIBAH GA 30815-5434
Georgia,Active,55924,ROSHAN VENTURES LLC,2355 N ELM ST COMMERCE GA 30529-2243
Georgia,Active,67057,LIL' PIG MARKET,1932 N HIGHWAY 341 ROSSVILLE GA 30741-6205
Georgia,Active,65816,C & S MARKET,6300 N.LEE STREET MORROW GA 30260
Georgia,Active,51822,C & S SEAFOOD & OYSTER BAR,3300 COBB PKWY SE STE 3240 ATLANTA GA 30339-3888
Georgia,Active,61448,"C AND C WINE SERVICES, INC.",2134 OLIVER RD SANTA ROSA CA 95401
Georgia,Inactive,33965,C B'S GAME ROOM,247 JEFFERSON ST TIGNALL GA 30668-2717
Georgia,Active,51541,C BROTHERS ENTERPRISES INC.,4200 STEVE REYNOLDS BLVD STE 3 NORCROSS GA 30093-3326
Georgia,Inactive,61029,C DONATIELLO WINERY,4035 WESTSIDE RD HEALDSBURG CA 95448-9456
Georgia,Inactive,15186,C DONATIELLO WINERY,4035 WESTSIDE RD HEALDSBURG CA 95448-9456
Georgia,Inactive,54199,C DONATIELLO WINERY,4035 WESTSIDE RD HEALDSBURG CA 95448
Georgia,Inactive,13722,C H S INC,5039 BUFORD HWY CHAMBLEE GA 30341-2929
Georgia,Active,31016,C J'S SPORTS BAR & GRILL,2910 RIVERSIDE DR MACON GA 31204-1244
Georgia,Active,32505,CREEK SIDE GROCERY,4100 TIBBS BRIDGE RD SE DALTON GA 30721-6166
Georgia,Active,46011,C L CRANES GROCERY,6614 DAWSONVILLE HWY DAHLONEGA GA 30533-5804
Georgia,Active,26668,CHEVRON FOOD MART,4234 PEACHTREE RD NE ATLANTA GA 30319-3009
Georgia,Active,19093,CITI PACKAGE STORE/CITI BEER &,918 DONALD LEE HOLLOWELL PKWY NW ATLANTA GA 30318-6672
Georgia,Active,57107,THE BAR ON BROAD,917 BROAD ST AUGUSTA GA 30901-1212
Georgia,Active,63578,MORRIS GROCERY,5919 MAIN ST LULA GA 30554-2814
Georgia,Active,53093,MR ED'S PACKAGE & WINERY,234 E 2ND ST DONALSONVILLE GA 39845-1604
Georgia,Active,65256,ROLAND'S GENERAL STORE,6285 TAILS CREEK RD ELLIJAY GA 30540-2997
Georgia,Active,43145,CHEVRON PARTY STORE,6105 HIGHWAY 155 N STOCKBRIDGE GA 30281-1204
Georgia,Active,68529,EASY SHOP,3444 BUFORD HWY NE ATLANTA GA 30329-1406
Georgia,Active,57433,JEFFERSONVILLE SUNOCO,2900 JEFFERSONVILLE RD MACON GA 31217-5116
Georgia,Inactive,46975,SHELL QUICK MART,4785 SUGARLOAF PKWY LAWRENCEVILLE GA 30044-6984
Georgia,Active,56,QUICK FOOD SHOP,1949 UPPER WOOLSEY RD HAMPTON GA 30228-3634
Georgia,Active,65834,LOTTO GROCERY,1104 HIGHWAY 19 N THOMASTON GA 30286-2202
Georgia,Inactive,7940,C&D PACKAGE,6098A MEMORIAL DR STONE MTN GA 30083
Georgia,Active,67178,MOTEL ONE,1370 GORDON HWY AUGUSTA GA 30901-3867
Georgia,Inactive,54992,C&J'S SPORTS BAR & GRILL,500A NORTH WAY DARIEN GA 31305-9128
Georgia,Active,14736,DANFAIR EXPRESS #3,402 W FORSYTH ST AMERICUS GA 31709-3436
Georgia,Active,68943,MOTEL ONE,1370B - GORDON HWY LBBY B AUGUSTA GA 30901
Georgia,Inactive,10481,C' BRIDGE BAR & GRILL,5910 FAIRINGTON RD LITHONIA GA 30038-1705
Georgia,Inactive,29048,C'SONS,120 MAIN ST LAGRANGE GA 30240-3218
Georgia,Inactive,54220,C-1 E-RHANG,1008 INDUSTRIAL COURT STE B&C SUWANEE GA 30024-8372
Georgia,Inactive,2834,C-MART,4206 VICTORY DR COLUMBUS GA 31903-3905
Georgia,Active,49930,A TO Z LIQUORS,217 MERCHANTS WAY BRUNSWICK GA 31525-1884
Georgia,Inactive,58136,C-MOHR PRODUCTIONS,1062 HWY 171 N LOUISVILLE GA 30434
Georgia,Active,63441,AMERICAN EAGLE,30 S BROAD ST TOCCOA GA 30577-3356
Georgia,Inactive,64237,C. DONATEILLO WINERY,1160 HOPPER AVE SANTA ROSA CA 95403-1651
Georgia,Inactive,46878,C.G. DI ARIE VINEYARD & WINERY,5200 DI ARIE RD MT AKUM CA 95656
Georgia,Active,61532,C.G. DI ARIE VINEYARD & WINERY,PO BOX 589 MOUNT AUKUM CA 95656-0589
Georgia,Inactive,55000,C.G. DI ARIE VINEYARD & WINERY,5200 DI ARIE RD MT AUKUM CA 95656
Georgia,Inactive,52910,C.J.'S SPORTS BAR,1140 HILL HAVEN RD GREENVILLE GA 30222-3105
Georgia,Inactive,54700,C1 SOJU,2885 N BERKELEY LAKE RD NW DULUTH GA 30096-5200
Georgia,Inactive,54201,C2 DISTRIBUTORS LLC,537 MOHAWK ST DEARBORN MI 48124-1388
Georgia,Inactive,57285,C2 IMPORTS LLC,1761 E 64TH AVE DENVER CO 80229-7403
Georgia,Inactive,45621,CA WANGS INC,2180 PLEASANT HILL RD DULUTH GA 30096-5897
Georgia,Active,67921,CA' MOMI,2515 NAPA VALLEY CORPORATE DRIVE NAPA CA 94558
Georgia,Active,69060,CABANA GRILL,1635 SCENIC HIGHWAY SNELLVILLE GA 30078
Georgia,Inactive,51379,CABBAGETOWN INITIATIVE COMMUNITY DEVELOPMENT CORP,KIRKWOOD AVE/TYE ST ATLANTA GA 30316
Georgia,Active,40362,CABERNET STEAKHOUSE,5575 WINDWARD PKWY ALPHARETTA GA 30004-4954
Georgia,Inactive,11232,CABIN IN THE PINES,303 REDDICK ST HOMERVILLE GA 31634-3231
Georgia,Active,48620,CABOS MEX GRILL,3421 RIDGE RD BUFORD GA 30519-4030
Georgia,Active,56437,CABOS MEX GRILL,7367 SPOUT SPRINGS RD STE 150 BRASELTON GA 30542-7741
Georgia,Inactive,55608,"CACTUS CAFE, INC.",2061 HOG MOUNTAIN RD WATKINSVILLE GA 30677-1900
Georgia,Inactive,43046,CACTUS JACK'S MEXICAN GRILL &,3333 BUFORD DR STE 2022C BUFORD GA 30519-4962
Georgia,Inactive,54910,CADENCE,1420 LAKE WASHINGTON BLVD S SEATTLE WA 98144-4020
Georgia,Inactive,58320,CADILLAC RANCH,DELOACH FARMS NASHVILLE GA 31639
Georgia,Inactive,61720,"CADUCEUS CELLARS, LLC",103 DUNDEE AVE JEROME AZ 86331
Georgia,Active,24164,CADWALLADER CAFE,106 DAVIS RD STE A MARTINEZ GA 30907-1704
