X,Y,Name,Description
-81.721281,30.967373,Camden County Public Safety Facility,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130390102002022/"">130390102002022</a></div><div>County: Camden County</div><div>2010 Correctional Population: 184</div>"
-81.619666,30.774734,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130390104012056/"">130390104012056</a></div><div>County: Camden County</div><div>2010 Correctional Population: 19</div>"
-82.045206,32.393156,Candler County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130439502001006/"">130439502001006</a></div><div>County: Candler County</div><div>2010 Correctional Population: 37</div>"
-85.046909,33.568795,Carroll County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130459107011046/"">130459107011046</a></div><div>County: Carroll County</div><div>2010 Correctional Population: 560</div>"
-85.048159,33.579013,Carroll County Correctional Institution,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130459107012052/"">130459107012052</a></div><div>County: Carroll County</div><div>2010 Correctional Population: 216</div>"
-85.133994,34.92911,Catoosa County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130470302012042/"">130470302012042</a></div><div>County: Catoosa County</div><div>2010 Correctional Population: 181</div>"
-81.969157,30.833617,D. Ray James Prison,"<div>Facility type: Private</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130490101002406/"">130490101002406</a></div><div>County: Charlton County</div><div>2010 Correctional Population: 1646</div><div>Comment: Geo Group - Contract with Federal Bureau of Prisons &amp; U.S. Marshals Service</div>"
-81.113738,32.077511,Coastal Transitional Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130510006014015/"">130510006014015</a></div><div>County: Chatham County</div><div>2010 Correctional Population: 258</div>"
-81.168176,32.060847,Chatham County Adult Detention Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130510105013018/"">130510105013018</a></div><div>County: Chatham County</div><div>2010 Correctional Population: 1632</div>"
-81.186978,32.138307,Coastal State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130510107001278/"">130510107001278</a></div><div>County: Chatham County</div><div>2010 Correctional Population: 1621</div>"
-85.34871,34.480189,Chattooga County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130550104003009/"">130550104003009</a></div><div>County: Chattooga County</div><div>2010 Correctional Population: 84</div>"
-85.311563,34.508113,Hays State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130550105002002/"">130550105002002</a></div><div>County: Chattooga County</div><div>2010 Correctional Population: 1664</div>"
-84.47781,34.199001,Cherokee County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130570906012054/"">130570906012054</a></div><div>County: Cherokee County</div><div>2010 Correctional Population: 553</div>"
-84.38767,34.121327,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130570908022008/"">130570908022008</a></div><div>County: Cherokee County</div><div>2010 Correctional Population: 4</div>"
-83.327592,33.948158,Clarke County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130591405001037/"">130591405001037</a></div><div>County: Clarke County</div><div>2010 Correctional Population: 431</div>"
